Month,Rachel Green: (India)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,11
2008-02,9
2008-03,0
2008-04,0
2008-05,10
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,7
2009-01,0
2009-02,0
2009-03,0
2009-04,6
2009-05,0
2009-06,7
2009-07,7
2009-08,7
2009-09,0
2009-10,5
2009-11,0
2009-12,0
2010-01,6
2010-02,0
2010-03,0
2010-04,6
2010-05,6
2010-06,0
2010-07,6
2010-08,5
2010-09,7
2010-10,0
2010-11,0
2010-12,5
2011-01,5
2011-02,4
2011-03,3
2011-04,4
2011-05,4
2011-06,5
2011-07,5
2011-08,4
2011-09,4
2011-10,4
2011-11,3
2011-12,4
2012-01,3
2012-02,3
2012-03,4
2012-04,4
2012-05,3
2012-06,3
2012-07,2
2012-08,3
2012-09,4
2012-10,3
2012-11,3
2012-12,3
2013-01,3
2013-02,3
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,4
2013-12,3
2014-01,3
2014-02,4
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,5
2014-08,5
2014-09,5
2014-10,4
2014-11,5
2014-12,5
2015-01,6
2015-02,5
2015-03,5
2015-04,6
2015-05,7
2015-06,7
2015-07,6
2015-08,7
2015-09,6
2015-10,7
2015-11,7
2015-12,6
2016-01,8
2016-02,8
2016-03,9
2016-04,9
2016-05,12
2016-06,12
2016-07,12
2016-08,10
2016-09,11
2016-10,9
2016-11,11
2016-12,10
2017-01,9
2017-02,10
2017-03,11
2017-04,10
2017-05,10
2017-06,10
2017-07,9
2017-08,9
2017-09,9
2017-10,9
2017-11,8
2017-12,9
2018-01,9
2018-02,9
2018-03,8
2018-04,7
2018-05,7
2018-06,6
2018-07,6
2018-08,5
2018-09,5
2018-10,4
2018-11,5
2018-12,7
2019-01,7
2019-02,6
2019-03,6
2019-04,7
2019-05,6
2019-06,6
2019-07,7
2019-08,6
2019-09,100
2019-10,12
2019-11,11
2019-12,10
2020-01,11
2020-02,11
2020-03,13
2020-04,18
2020-05,32
2020-06,19
2020-07,22
2020-08,18
2020-09,22
2020-10,16
2020-11,17
2020-12,20
2021-01,18
2021-02,21
2021-03,16
2021-04,20
2021-05,30
2021-06,27
2021-07,17
2021-08,15
2021-09,11
2021-10,11
2021-11,13
2021-12,14
2022-01,15
2022-02,14
2022-03,13
2022-04,13
2022-05,13
2022-06,14
2022-07,10
2022-08,10
2022-09,8
2022-10,8
2022-11,21
2022-12,11
2023-01,9
2023-02,8
2023-03,6
2023-04,7
2023-05,5
2023-06,5
2023-07,6
2023-08,5
2023-09,5
2023-10,6
2023-11,11
2023-12,7
2024-01,6
2024-02,18
2024-03,8
2024-04,5
2024-05,4
2024-06,5
2024-07,5
